eta[0]   eta[1]   eta[2]   eta[3]   negative_log_lik
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
-0.187593   -0.093007    1.049820   -0.379564    2368.818800
 0.232010   -0.368509    0.349345   -0.086157    1526.540492
 0.272958   -0.395395    0.280987   -0.057524    1459.907684
 0.277398   -0.398311    0.273574   -0.054419    1452.852682
 0.277885   -0.398631    0.272761   -0.054079    1452.080678
 0.277939   -0.398666    0.272672   -0.054041    1451.995894
 0.277945   -0.398670    0.272662   -0.054037    1451.986578
 0.277945   -0.398670    0.272661   -0.054037    1451.985555
 0.277945   -0.398670    0.272661   -0.054036    1451.985443
 0.277945   -0.398670    0.272661   -0.054036    1451.985430
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
 0.277945   -0.398670    0.272661   -0.054036    1451.985429
-0.187593   -0.093007    1.049820   -0.379564    2368.818800
 0.153830   -0.317178    0.479856   -0.140824    1661.638089
 0.247499   -0.378680    0.323487   -0.075326    1501.000751
 0.270237   -0.393609    0.285529   -0.059426    1464.246324
 0.275994   -0.397388    0.275919   -0.055401    1455.080508
 0.277451   -0.398345    0.273487   -0.054382    1452.769453
 0.277820   -0.398588    0.272870   -0.054124    1452.184174
 0.277914   -0.398649    0.272714   -0.054059    1452.035820
 0.277937   -0.398665    0.272674   -0.054042    1451.998206
 0.277943   -0.398669    0.272664   -0.054038    1451.988668
 0.277945   -0.398670    0.272661   -0.054037    1451.986250
 0.277945   -0.398670    0.272661   -0.054037    1451.985637
Time of eta optimization using conjugate gradient:  558.627852607
